Age,ProductName,ProductName_Code,OrderNum
25,天王卡,5,218
22,腾讯大王卡,1,3107
29,腾讯大王卡,1,2067
23,腾讯大王卡,1,3285
24,腾讯大王卡,1,2773
27,腾讯地王卡,4,194
25,腾讯大王卡,1,2753
39,腾讯亲情卡,6,75
18,腾讯大王卡,1,2980
30,腾讯大王卡,1,1698
16,大王超级会员卡,2,809
27,天王卡,5,190
17,腾讯大王卡,1,2854
16,腾讯大王卡,1,1885
17,腾讯地王卡,4,143
31,腾讯大王卡,1,1562
