1,M,1996,2018005,340621
1,M,1996,2018005,340621
2,M,2000,2018004,341202
2,M,1996,2018005,341204
1,M,1983,2018008,341221
1,M,2002,2018004,341225
4,M,1994,2018005,341225
2,M,1990,2018006,341225
1,M,2004,2018003,341282
1,M,2000,2018004,341621
1,M,2005,2018003,341623
1,M,1999,2018004,350303
1,M,1997,2018005,350702
1,M,1995,2018005,350825
4,M,1999,2018004,360281
2,M,1986,2018007,360428
1,M,1993,2018006,360622
1,M,1991,2018006,360735
2,M,1990,2018006,360781
1,M,2005,2018003,361121
1,M,1994,2018005,370682
1,M,1991,2018006,410223
1,M,1977,2018009,410223
1,M,1986,2018007,410421
1,M,1991,2018006,410423
1,M,1992,2018006,411024
1,M,1969,2018010,411024
1,M,1965,2018011,411122
2,M,1998,2018005,411222
1,M,1989,2018006,411323
1,M,1992,2018006,411324
1,M,1982,2018008,411325
2,M,2002,2018004,411381
6,M,1990,2018006,411402
1,M,1989,2018006,411403
1,M,2000,2018004,411422
1,M,2002,2018004,411423
1,M,1992,2018006,411521
1,M,1992,2018006,411523
1,M,2005,2018003,411524
1,M,1996,2018005,411524
1,M,1994,2018005,411526
1,M,1997,2018005,411628
6,M,1996,2018005,420222
1,M,1969,2018010,420222
6,M,1983,2018008,421023
5,M,1996,2018005,421127
1,M,1989,2018006,421182
1,M,1999,2018004,422801
1,M,1998,2018005,422801
2,M,2001,2018004,422827
1,M,1996,2018005,429006
6,M,1983,2018008,430181
1,M,1999,2018004,430523
1,M,1990,2018006,430703
1,M,2004,2018003,430981
6,M,1994,2018005,431121
1,M,1992,2018006,431225
1,M,1988,2018007,433130
1,M,1985,2018007,441481
1,M,1995,2018005,441881
1,M,2002,2018004,500230
1,M,1994,2018005,500230
2,M,1998,2018005,500233
1,M,1987,2018007,511322
2,M,1997,2018005,511525
1,M,1996,2018005,511527
2,M,1999,2018004,513429
1,M,2001,2018004,513432
1,M,1987,2018007,520121
1,M,1996,2018005,520203
2,M,2002,2018004,520221
1,M,1996,2018005,522229
5,M,1998,2018005,522401
2,M,1997,2018005,522731
1,M,1972,2018010,530325
1,M,2001,2018004,530326
4,M,2001,2018004,532527
1,M,1994,2018005,532623
1,M,1994,2018005,532627
1,M,1997,2018005,610124
1,M,1994,2018005,622624
6,M,1999,2018004,622627
1,M,1991,2018006,622627
1,M,2003,2018004,330124
5,M,2002,2018004,412328
1,M,2002,2018004,339005
1,M,2001,2018004,362321
2,M,2000,2018004,452402
1,M,1999,2018004,412721
1,M,1999,2018004,362330
1,M,1999,2018004,520202
1,M,1999,2018004,520202
1,M,1998,2018005,412326
1,M,1998,2018005,330124
2,M,1997,2018005,362204
1,M,1997,2018005,412721
1,M,1997,2018005,533528
2,M,1997,2018005,142631
1,M,1996,2018005,372922
1,M,1996,2018005,362329
1,M,1995,2018005,640111
1,M,1995,2018005,412727
5,M,1994,2018005,142326
2,M,1994,2018005,532101
1,M,1993,2018006,339005
1,M,1993,2018006,412326
1,M,1993,2018006,413026
1,M,1993,2018006,412727
1,M,1991,2018006,622424
6,M,1991,2018006,413026
1,M,1990,2018006,330721
6,M,1989,2018006,341223
1,M,1988,2018007,522528
1,M,1988,2018007,412326
6,M,1988,2018007,412823
1,M,1987,2018007,341227
1,M,1986,2018007,532128
6,M,1982,2018008,422126
1,M,1980,2018008,320325
1,M,1980,2018008,133022
1,M,1976,2018009,341281
5,M,1976,2018009,330124
1,M,1976,2018009,513022
1,M,1975,2018009,412929
1,M,1975,2018009,412321
1,M,1974,2018009,522529
1,M,1974,2018009,612526
1,M,1973,2018010,412828
1,M,1972,2018010,413026
1,M,1972,2018010,413027
1,M,1970,2018010,342425
2,M,1969,2018010,413022
1,M,1996,2018005,140702
4,M,1998,2018005,141034
1,M,1986,2018007,220182
1,M,1995,2018005,320322
1,M,1994,2018005,320722
2,M,1998,2018005,321323
1,M,1987,2018007,330103
2,M,2001,2018004,330106
1,M,2002,2018004,330108
1,M,2006,2018003,330127
2,M,2005,2018003,330182
1,M,2002,2018004,330182
2,M,2000,2018004,330182
2,M,2002,2018004,330183
1,M,2001,2018004,330183
1,M,2000,2018004,330183
1,M,1996,2018005,330327
5,M,1999,2018004,330822
1,M,1962,2018012,330824
1,M,1999,2018004,330902
5,M,1995,2018005,340621
1,M,1986,2018007,340823
1,M,1998,2018005,340824
1,M,1988,2018007,341124
2,M,2002,2018004,341202
2,M,1995,2018005,341221
1,M,1993,2018006,341221
1,M,1990,2018006,341221
2,M,2002,2018004,341225
1,M,2000,2018004,341225
1,M,1996,2018005,341225
1,M,1990,2018006,341225
1,M,1985,2018007,341225
1,M,1994,2018005,342224
2,M,2002,2018004,341623
1,M,2000,2018004,350783
1,M,1993,2018006,350823
1,M,1992,2018006,360281
1,M,1994,2018005,360421
1,M,1973,2018010,360430
1,M,1993,2018006,360521
1,M,1995,2018005,370830
1,M,1985,2018007,371122
6,M,1987,2018007,371324
2,M,1997,2018005,410323
1,M,1993,2018006,410326
1,M,1986,2018007,410822
1,M,2003,2018004,411082
1,M,1977,2018009,411123
2,M,1993,2018006,411327
6,M,1990,2018006,411381
1,M,1988,2018007,411381
2,M,1999,2018004,411424
1,M,1992,2018006,411526
1,M,2001,2018004,411527
1,M,1990,2018006,411527
1,M,1987,2018007,420222
4,M,1991,2018006,420323
1,M,1992,2018006,421123
1,M,1994,2018005,421127
1,M,1998,2018005,430724
1,M,1988,2018007,431281
1,M,1987,2018007,500240
1,M,1977,2018009,510722
1,M,1999,2018004,511024
1,M,1975,2018009,511126
1,M,1994,2018005,511324
5,M,1997,2018005,513433
1,M,1989,2018006,522222
1,M,1995,2018005,522229
1,M,1995,2018005,522423
1,M,1994,2018005,522426
1,M,1989,2018006,522428
1,M,1997,2018005,522624
1,M,1997,2018005,530325
1,M,1999,2018004,530381
2,M,1975,2018009,532622
1,M,1991,2018006,622621
1,M,1992,2018006,622623
1,M,1993,2018006,622625
1,M,1991,2018006,622627
1,M,2003,2018004,532122
2,M,2000,2018004,339005
1,M,2000,2018004,412828
1,M,2000,2018004,412821
1,M,1999,2018004,362330
1,M,1999,2018004,412825
2,M,1999,2018004,412825
1,M,1998,2018005,362323
1,M,1998,2018005,362321
1,M,1998,2018005,452226
1,M,1997,2018005,520202
1,M,1997,2018005,339005
1,M,1996,2018005,412723
5,M,1995,2018005,362302
4,M,1995,2018005,362202
1,M,1995,2018005,339005
1,M,1995,2018005,339005
1,M,1995,2018005,513922
1,M,1994,2018005,622826
1,M,1994,2018005,342423
1,M,1994,2018005,413026
4,M,1994,2018005,142723
1,M,1992,2018006,362531
1,M,1991,2018006,341227
1,M,1991,2018006,422325
4,M,1990,2018006,339005
1,M,1988,2018007,520202
1,M,1988,2018007,339005
4,M,1984,2018007,362425
1,M,1981,2018008,420623
1,M,1980,2018008,532124
1,M,1980,2018008,452324
1,M,1979,2018008,412926
1,M,1977,2018009,362330
1,M,1976,2018009,372833
1,M,1976,2018009,412326
1,M,1976,2018009,532129
1,M,1975,2018009,512222
1,M,1973,2018010,330125
1,M,1971,2018010,413022
1,M,1969,2018010,320626
1,M,1995,2018005,130183
1,M,1978,2018009,130434
1,M,1984,2018007,130481
1,M,1985,2018007,130636
1,M,2000,2018004,130827
2,M,1993,2018006,140424
2,M,1999,2018004,150125
2,M,1999,2018004,230123
1,M,1988,2018007,320305
2,M,1972,2018010,320324
1,M,1992,2018006,320382
1,M,1995,2018005,320724
1,M,1979,2018008,320830
1,M,2002,2018004,320922
1,M,1988,2018007,320924
2,M,1988,2018007,321322
6,M,1992,2018006,321323
2,M,2004,2018003,330102
1,M,2003,2018004,330104
2,M,2002,2018004,330104
2,M,2002,2018004,330105
2,M,1998,2018005,330106
4,M,1991,2018006,330106
1,M,1990,2018006,330106
1,M,1987,2018007,330106
6,M,1983,2018008,330106
1,M,2002,2018004,330127
5,M,1993,2018006,330127
1,M,1963,2018012,330127
1,M,1980,2018008,330182
1,M,1999,2018004,330183
1,M,1999,2018004,330185
1,M,1998,2018005,330281
1,M,1991,2018006,330324
1,M,1994,2018005,330329
1,M,1998,2018005,330682
1,M,1994,2018005,330682
1,M,1994,2018005,330726
1,M,1996,2018005,330881
1,M,1992,2018006,330881
1,M,1989,2018006,331023
1,M,1961,2018012,340321
1,M,1997,2018005,340823
1,M,1990,2018006,340827
1,M,1998,2018005,341022
1,M,1987,2018007,341204
1,M,2000,2018004,341221
4,M,1999,2018004,341221
1,M,1995,2018005,341221
2,M,1999,2018004,341225
1,M,1976,2018009,341225
1,M,1969,2018010,341621
6,M,1995,2018005,350301
1,M,1985,2018007,360202
1,M,1999,2018004,360281
2,M,1987,2018007,360281
1,M,1982,2018008,360321
2,M,1993,2018006,360430
1,M,1994,2018005,370105
1,M,1986,2018007,370832
1,M,1985,2018007,410223
1,M,2002,2018004,410325
1,M,2001,2018004,410425
4,M,1997,2018005,410724
1,M,1991,2018006,410726
2,M,2002,2018004,410811
5,M,1991,2018006,411121
2,M,1999,2018004,411282
1,M,1984,2018007,411323
2,M,2003,2018004,411327
1,M,2000,2018004,411381
1,M,1989,2018006,411381
1,M,2002,2018004,411403
2,M,2001,2018004,411403
1,M,1995,2018005,411403
1,M,1989,2018006,411425
1,M,2001,2018004,411527
1,M,1989,2018006,411527
1,M,1988,2018007,411527
2,M,2002,2018004,411627
1,M,1990,2018006,420222
1,M,1988,2018007,420323
4,M,1991,2018006,420922
1,M,2001,2018004,421123
1,M,1994,2018005,421127
1,M,1989,2018006,421127
2,M,1997,2018005,421223
1,M,2002,2018004,429005
5,M,1997,2018005,429006
1,M,1996,2018005,430321
1,M,1992,2018006,430922
1,M,1992,2018006,431222
1,M,2000,2018004,431224
5,M,1984,2018007,450311
2,M,1993,2018006,450521
2,M,1990,2018006,450702
1,M,1998,2018005,510626
2,M,1993,2018006,510724
5,M,1989,2018006,511521
2,M,1999,2018004,511527
1,M,2000,2018004,513436
1,M,1999,2018004,522228
2,M,2000,2018004,522427
1,M,1994,2018005,522428
1,M,1999,2018004,522630
1,M,1995,2018005,522635
1,M,1991,2018006,522725
1,M,1993,2018006,530113
5,M,1999,2018004,530325
1,M,1996,2018005,530421
2,M,1999,2018004,532926
1,M,2000,2018004,610322
2,M,2000,2018004,621122
2,M,2004,2018003,412727
1,M,2002,2018004,362330
1,M,2001,2018004,412726
1,M,2001,2018004,440582
1,M,2001,2018004,330184
1,M,2001,2018004,362324
1,M,2001,2018004,362502
1,M,2001,2018004,362322
1,M,2000,2018004,330184
1,M,1999,2018004,362502
1,M,1998,2018005,339005
4,M,1998,2018005,532126
1,M,1997,2018005,362326
1,M,1997,2018005,622425
2,M,1997,2018005,332527
2,M,1996,2018005,522125
1,M,1996,2018005,332502
1,M,1996,2018005,362528
1,M,1996,2018005,339005
1,M,1996,2018005,362323
1,M,1994,2018005,412722
2,M,1994,2018005,362501
6,M,1994,2018005,412728
1,M,1994,2018005,342626
1,M,1992,2018006,513124
1,M,1992,2018006,342201
1,M,1992,2018006,362330
1,M,1992,2018006,622827
5,M,1991,2018006,362323
1,M,1991,2018006,412726
1,M,1991,2018006,342923
1,M,1990,2018006,522124
2,M,1988,2018007,341223
2,M,1988,2018007,362322
1,M,1988,2018007,622425
6,M,1988,2018007,422126
1,M,1986,2018007,342626
1,M,1985,2018007,362323
1,M,1985,2018007,152127
4,M,1984,2018007,362330
2,M,1981,2018008,330123
1,M,1981,2018008,232103
1,M,1980,2018008,433023
1,M,1978,2018009,512531
2,M,1970,2018010,432301
1,M,1970,2018010,413024
2,M,1970,2018010,342225
1,M,1969,2018010,510227
1,M,1968,2018011,342723
1,M,1965,2018011,342201
2,M,1999,2018004,130129
4,M,2001,2018004,130533
1,M,1992,2018006,130928
5,M,1997,2018005,140224
2,M,1978,2018009,152221
1,M,1988,2018007,211404
